timetocompletesurvey,Pseudonym,Geschlecht,Alter,Familienstand,Kinder,AnzahlKinder,keins,ImChoraktiv,PrivaterMusikunterricht,Stdgehört7TageHerkömmli,Stdgehört7TagePhysische,Stdgehört7TageAufIhren,Stdgehört7TageKostenlos,Stdgehört7Tagekostenpfl,Stdgehört7TageOnlineRa,Stdgehört7TageLiveMusi,WennichMusikhöremacheichni,AktiveSuchenachneuerMusik,Musikistmirimmeretwaswert,CDAlbenAusgaben30Tage,CDSinglesAusgaben30Tage,MusikDVDsBluRaysAusgaben3,VinylAlbenAusgaben30Tage,KostenpflichtigedigitaleAlbum,KostenpflichtigedigitaleTrack,DigitaleMusikAboServicesPau,SonstigedigitaleMusikAboServ,Warumamhäufigstengekauft,datetimeofsurveystart,dateoflastaccess,panel,Bildung,Beschäftigung,Haushaltseinkommen,No_Mainstream_7Likert,KonzerteLiveMusikEventsAus,FestivalsLiveMusikEventsAu,ClubKonzerteLiveMusikEvents,DeluxeBoxenMusikproduktMer,Livestream_WTP
432,3941455099920,männlich,46,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,30,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,1,0,0,0,0,
728,3582303083360,weiblich,50,allein lebend,nein,,not quoted,Nein,Ja,14,4,1,0,0,0,0,3,Nein,5,25,10,30,0,0,0,0,0,Mobilität,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,5,0,0,0,0,
6024,3585743531200,männlich,45,allein lebend,nein,,quoted,Nein,Nein,12,1,2,0,0,5,0,3,Ja,4,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,6,0,0,0,0,
1414,4016128803520,männlich,61,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,10,1,3,0,0,1,0,4,Nein,4,0,5,10,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,ohne Beschäftigung,501 Euro bis 1.000 Euro,4,0,0,0,0,
1244,3666657523840,männlich,27,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,3,0,2,0,6,0,0,3,Ja,6,0,0,0,0,0,0,10,0,Gewohnheit,2019-01-30,2019-01-30,2,Abitur,Studierende/r,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
528,3376616987360,männlich,41,allein lebend,ja,1,quoted,Nein,Nein,2,2,4,1,1,1,2,5,Ja,6,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,3,0,0,0,0,
770,4017495979920,weiblich,57,allein lebend,ja,1,quoted,Nein,Nein,3,2,0,0,0,0,0,2,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,weniger als 500 Euro,7,0,0,0,0,
1556,3256240323200,weiblich,68,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,14,12,5,0,0,0,3,3,Ja,5,30,,,,,,,,Atmosphäre,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,45,,,,
1139,3418949755680,weiblich,25,allein lebend,nein,,not quoted,Nein,Ja,4,0,15,3,0,2,0,2,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Abitur,Studierende/r,501 Euro bis 1.000 Euro,4,0,0,0,0,
2232,3968493187760,männlich,30,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,18,0,2,0,0,3,0,2,Ja,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Studierende/r,1.001 Euro bis 1.500 Euro,2,0,0,0,0,
989,3989985979680,männlich,54,in einer festen Partnerschaft zusammenlebend,ja,3,not quoted,Nein,Ja,2,3,12,0,0,22,0,6,Ja,7,0,0,0,60,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Abitur,Selbständige/r,4.501 Euro bis 5.000 Euro,6,20,0,20,0,
724,3242554459600,männlich,40,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,0,4,0,0,0,0,0,3,Ja,6,60,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,7,0,0,0,20,
623,3729798659600,männlich,17,allein lebend,nein,,not quoted,Nein,Ja,3,0,1,1,0,0,0,1,Nein,7,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Schüler/in,weniger als 500 Euro,4,0,0,0,0,
1370,3425650475440,männlich,67,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,7,2,3,0,0,0,0,2,Ja,4,10,0,0,0,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Fachhochschulreife,Sonstiges,3.501 Euro bis 4.000 Euro,5,0,0,0,0,
1271,3482907779440,weiblich,26,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,1,0,4,0,0,4,0,3,Ja,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Bachelor,Studierende/r,weniger als 500 Euro,3,0,0,0,0,
643,3510878307360,männlich,38,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,0,15,30,0,15,17,0,2,Ja,7,110,0,0,0,0,0,10,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,6,0,0,0,0,
3428,3536670515760,männlich,38,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,40,1,7,1,2,0,0,2,Nein,6,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Auszubildende/r,weniger als 500 Euro,6,0,0,0,0,
1799,4016533635760,männlich,70,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,50,0,0,0,0,0,0,2,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Hauptschulabschluss,ohne Beschäftigung,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
993,3986115651600,männlich,63,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,0,1,1,0,0,30,0,4,Ja,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Hauptschulabschluss,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,4,0,0,0,0,
867,3371733443440,weiblich,44,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,5,15,10,3,3,10,5,1,Ja,7,0,0,0,80,20,20,20,10,Atmosphäre,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,3.001 Euro bis 3.500 Euro,4,0,0,30,0,
836,3505643283440,männlich,53,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,0,0,0,0,3,1,0,1,Ja,2,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Abitur,ohne Beschäftigung,501 Euro bis 1.000 Euro,1,0,0,0,0,
396,3806511763280,weiblich,47,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,35,0,0,0,0,0,0,1,Nein,2,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,4,0,0,0,0,
1320,3779463219920,weiblich,20,allein lebend,nein,,not quoted,Nein,Ja,0,0,2,2,0,4,0,2,Ja,5,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Studierende/r,501 Euro bis 1.000 Euro,3,0,0,0,0,
607,3409307091760,männlich,33,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,10,1,0,2,0,0,0,4,Nein,5,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,3.501 Euro bis 4.000 Euro,3,0,0,0,0,
2294,3992077859360,weiblich,50,allein lebend,nein,,quoted,Nein,Nein,10,20,1,0,0,0,0,2,Ja,6,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
981,3501021547680,weiblich,70,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,3,0,0,0,0,0,0,2,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,2,0,0,0,0,
901,3615487699920,weiblich,43,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Ja,0,0,0,0,0,0,0,1,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Abitur,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,6,0,0,0,0,
1041,3649606235200,weiblich,60,allein lebend,ja,2,quoted,Nein,Ja,0,0,1,0,0,0,0,4,Nein,5,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,2,0,0,0,0,
2728,3433601243920,männlich,42,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,6,5,18,4,15,25,0,6,Ja,7,,,,,,10,20,,Flexibilität,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,4.001 Euro bis 4.500 Euro,4,,,,,
495,3984958627920,männlich,49,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Ja,Nein,1,0,0,0,0,0,0,3,Nein,6,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,weniger als 500 Euro,7,0,0,0,0,
616,3812288995600,männlich,58,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Ja,5,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Promotion,Angestellte/r,mehr als 5.000 Euro,4,0,0,0,0,
1577,4022231667920,weiblich,61,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,50,3,10,0,0,5,0,2,Nein,2,0,0,0,0,20,10,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Fachhochschulreife,Sonstiges,2.501 Euro bis 3.000 Euro,6,0,0,0,0,
1465,3246771419680,männlich,27,allein lebend,nein,,not quoted,Nein,Nein,10,1,6,10,0,2,0,3,Nein,4,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,3,0,0,0,0,
1100,3857384299760,weiblich,48,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,10,3,5,0,0,0,0,1,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Hausmann / Hausfrau,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
1454,3617572307600,weiblich,52,allein lebend UND in einer festen Partnerschaft,nein,,not quoted,Ja,Ja,2,1,1,0,0,0,2,4,Nein,5,0,0,0,,0,0,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Selbständige/r,1.001 Euro bis 1.500 Euro,5,40,0,0,0,
1222,3267959571360,männlich,50,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,9,6,3,0,0,0,0,2,Ja,7,60,0,0,0,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,6,0,0,0,0,
1155,3806332379200,weiblich,53,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,1,1,2,5,0,1,0,2,Nein,3,20,0,0,0,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,
1162,3569212667280,männlich,43,in einer festen Partnerschaft zusammenlebend,ja,5,quoted,Nein,Nein,3,0,0,0,0,0,0,2,Ja,6,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,7,0,0,0,0,
1342,3571335307520,männlich,70,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Ja,Nein,14,1,0,1,0,2,0,1,Nein,3,0,20,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Hauptschulabschluss,Sonstiges,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
1040,3405343035680,weiblich,51,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,18,0,0,0,0,0,0,7,Nein,4,0,0,0,19,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
656,4016075491680,weiblich,21,allein lebend UND in einer festen Partnerschaft,nein,,not quoted,Nein,Nein,5,4,2,2,0,2,0,2,Ja,2,10,20,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Fachhochschulreife,Schüler/in,2.001 Euro bis 2.500 Euro,5,0,0,0,0,
863,3340511555840,weiblich,64,allein lebend,ja,2,not quoted,Nein,Ja,21,10,12,0,0,0,0,1,Nein,4,28,0,0,0,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,6,0,0,0,0,
990,3670607027840,männlich,59,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,50,10,10,0,0,0,4,2,Nein,6,0,0,25,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Selbständige/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,
1023,3892005427200,männlich,37,allein lebend,nein,,quoted,Nein,Ja,5,2,8,6,0,5,0,4,Ja,3,20,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,5,0,0,15,0,
734,3753894835600,männlich,45,allein lebend,nein,,quoted,Nein,Ja,1,3,55,0,0,0,0,2,Ja,7,7,0,0,0,0,3,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,4,7,0,0,0,
1641,3903208371440,weiblich,60,allein lebend,ja,3,quoted,Nein,Nein,2,1,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Flexibilität,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,1,0,0,0,0,
1672,3970905875760,weiblich,19,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,28,0,0,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Auszubildende/r,501 Euro bis 1.000 Euro,7,0,0,0,0,
912,3967884779920,männlich,55,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,35,0,0,0,0,0,0,4,Nein,4,,,,,,,,,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,4,100,,,,
1018,3260182563280,männlich,42,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,14,0,2,14,0,42,0,4,Ja,4,0,0,0,0,0,5,8,0,Flexibilität,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.001 Euro bis 3.500 Euro,6,0,0,0,0,
897,3887484699520,männlich,27,allein lebend,nein,,quoted,Nein,Ja,1,0,2,1,0,0,0,2,Ja,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Bachelor,Studierende/r,weniger als 500 Euro,4,0,0,0,0,
1000,3263821019600,männlich,67,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,10,2,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Fachhochschulreife,ohne Beschäftigung,1.501 Euro bis 2.000 Euro,7,0,0,0,0,
957,3968024555840,männlich,27,allein lebend UND in einer festen Partnerschaft,nein,,quoted,Nein,Nein,2,0,2,0,10,0,0,1,Ja,6,0,0,0,0,0,0,5,0,Gewohnheit,2019-01-30,2019-01-30,2,Bachelor,Angestellte/r,1.001 Euro bis 1.500 Euro,5,0,0,0,0,
508,3893412179440,weiblich,28,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,40,0,3,0,0,0,0,2,Nein,4,0,0,0,0,,10,5,0,Gewohnheit,2019-01-30,2019-01-30,2,Bachelor,Angestellte/r,2.001 Euro bis 2.500 Euro,3,0,0,0,0,
566,3808330595520,männlich,38,allein lebend,nein,,not quoted,Nein,Ja,0,20,50,0,30,0,0,1,Ja,7,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
707,3373979659200,weiblich,60,allein lebend,nein,,quoted,Nein,Ja,4,1,0,0,0,0,0,7,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Fachhochschulreife,Angestellte/r,501 Euro bis 1.000 Euro,5,0,0,0,0,
665,3452609427760,männlich,56,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,14,0,0,0,0,14,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,3.501 Euro bis 4.000 Euro,2,0,0,0,0,
655,3834475891840,weiblich,55,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,4,0,0,0,0,0,0,3,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,
754,3914147923840,weiblich,41,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Nein,0,0,0,0,70,0,3,2,Ja,4,,,,,,,15,,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,mehr als 5.000 Euro,5,,,,,
1626,3973488203360,weiblich,54,allein lebend,ja,1,quoted,Nein,Ja,0,0,0,0,0,0,0,4,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Sonstiges,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
1077,3742894739760,männlich,50,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,2,7,2,0,4,3,0,6,Ja,7,50,0,0,100,0,0,10,0,Soundqualität,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.001 Euro bis 2.500 Euro,5,0,0,0,0,
557,3402891579840,weiblich,26,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,15,0,15,0,0,1,Ja,1,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Bachelor,Studierende/r,501 Euro bis 1.000 Euro,3,0,0,0,0,
1208,3565529843680,männlich,63,allein lebend,nein,,quoted,Nein,Nein,3,14,0,0,1,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Fachhochschulreife,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
2051,3374605907680,männlich,51,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,60,0,10,0,2,0,0,1,Nein,5,0,0,0,0,0,0,4,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
794,3667262699680,weiblich,51,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,10,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Fachhochschulreife,Angestellte/r,2.501 Euro bis 3.000 Euro,7,0,0,0,0,
740,3941460715520,männlich,61,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,10,2,0,0,0,0,0,1,Nein,6,20,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Fachhochschulreife,Angestellte/r,2.001 Euro bis 2.500 Euro,6,60,0,0,0,
-1,3246497467280,weiblich,22,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,1,0,0,0,0,3,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Bachelor,Angestellte/r,1.001 Euro bis 1.500 Euro,4,0,0,0,0,
1357,3567507827680,weiblich,56,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,30,0,0,0,0,0,0,1,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,501 Euro bis 1.000 Euro,2,0,0,0,0,
694,4022910347520,weiblich,63,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,7,0,0,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Sonstiges,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
681,3823352899200,weiblich,55,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Ja,Nein,6,0,0,0,0,0,0,2,Nein,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
1055,3291705867200,männlich,70,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Nein,55,5,0,2,0,2,0,2,Nein,2,15,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Hauptschulabschluss,Selbständige/r,2.001 Euro bis 2.500 Euro,5,0,0,0,0,
710,3587116395920,männlich,69,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,2,10,40,0,0,0,0,1,Ja,7,180,,,,,,,,Soundqualität,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,4.501 Euro bis 5.000 Euro,7,,,,,
1326,3327727331360,weiblich,60,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,2,1,0,0,0,0,0,5,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
1663,3370546483360,weiblich,50,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,60,0,5,8,0,5,0,1,Ja,2,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,
1089,3731442131600,männlich,23,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,1,0,2,5,0,2,0,2,Nein,4,5,,,,,,,,Gewohnheit,2019-01-30,2019-01-30,2,Abitur,Studierende/r,501 Euro bis 1.000 Euro,6,,,,,
496,3729218475200,männlich,40,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,5,8,5,2,2,4,0,5,Ja,5,50,0,0,0,20,15,10,0,Gewohnheit,2019-01-30,2019-01-30,2,Bachelor,Angestellte/r,3.501 Euro bis 4.000 Euro,6,0,0,0,0,
851,3812858635600,männlich,56,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,0,1,0,0,0,0,3,Ja,3,0,0,0,0,0,0,0,0,Sonstiges,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
711,3912228083520,männlich,48,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,1,5,0,0,0,40,0,4,Ja,5,15,0,0,0,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Hauptschulabschluss,Angestellte/r,4.001 Euro bis 4.500 Euro,4,0,0,0,0,
-1,3534635139520,weiblich,51,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,0,0,0,0,0,3,Nein,3,,,,,,,,,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,3,,,,,
787,3697805883440,weiblich,50,allein lebend,nein,,quoted,Nein,Nein,46,0,0,0,0,0,2,1,Nein,3,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
1067,3421775315520,weiblich,59,allein lebend UND in einer festen Partnerschaft,ja,3,quoted,Nein,Nein,21,0,0,0,0,7,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,6,0,0,0,0,
906,3668232315840,weiblich,53,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Ja,Nein,5,1,0,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.001 Euro bis 2.500 Euro,3,25,0,0,0,
963,3619181811280,weiblich,58,allein lebend,ja,1,not quoted,Nein,Ja,0,0,0,0,0,0,0,7,Nein,2,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-30,2019-01-30,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,1.001 Euro bis 1.500 Euro,5,12,0,0,0,
2064,3564113411600,weiblich,20,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,1,0,0,1,0,0,2,7,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Studierende/r,weniger als 500 Euro,3,0,0,0,0,
1280,3325904491440,männlich,65,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,2,1,4,0,0,1,0,3,Nein,4,10,0,0,0,0,0,0,0,Soundqualität,2019-01-30,2019-01-30,2,Hauptschulabschluss,Sonstiges,1.001 Euro bis 1.500 Euro,5,0,0,0,0,
656,3248035115520,weiblich,37,allein lebend,nein,,quoted,Nein,Nein,0,0,0,0,39,0,0,1,Nein,1,0,0,0,0,0,0,10,0,ich kaufe keine Musik,2019-01-30,2019-01-30,2,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
